Date	Depth	Temp
2001-10-01	0	37
2001-10-02	0	38
2001-10-03	0	41
2001-10-04	0	38
2001-10-05	0	38
2001-10-06	0	31
2001-10-07	0	36
2001-10-08	0	34
2001-10-09	0	32
2001-10-10	0	28
2001-10-11	0	22
2001-10-12	0	26
2001-10-13	2	21
2001-10-14	0	32
2001-10-15	0	34
2001-10-16	1	32
2001-10-17	0	40
2001-10-18	0	38
2001-10-19	0	34
2001-10-20	0	38
2001-10-21	0	37
2001-10-22	0	36
2001-10-23	0	28
2001-10-24	0	31
2001-10-25	0	29
2001-10-26	0	35
2001-10-27	0	35
2001-10-28	0	36
2001-10-29	0	38
2001-10-30	0	38
2001-10-31	0	37
2001-11-01	0	32
2001-11-02	0	33
2001-11-03	0	30
2001-11-04	0	31
2001-11-05	0	28
2001-11-06	0	31
2001-11-07	0	30
2001-11-08	0	32
2001-11-09	0	25
2001-11-10	0	27
2001-11-11	0	29
2001-11-12	0	31
2001-11-13	0	31
2001-11-14	0	28
2001-11-15	0	27
2001-11-16	1	26
2001-11-17	0	26
2001-11-18	1	26
2001-11-19	1	24
2001-11-20	1	28
2001-11-21	1	27
2001-11-22	1	25
2001-11-23	4	22
2001-11-24	8	10
2001-11-25	7	19
2001-11-26	10	6
2001-11-27	9	1
2001-11-28	10	0
2001-11-29	9	10
2001-11-30	9	11
2001-12-01	9	13
2001-12-02	9	20
2001-12-03	9	27
2001-12-04	9	23
2001-12-05	8	17
2001-12-06	10	12
2001-12-07	9	23
2001-12-08	9	10
2001-12-09	9	19
2001-12-10	8	21
2001-12-11	9	14
2001-12-12	14	8
2001-12-13	16	4
2001-12-14	14	12
2001-12-15	14	13
2001-12-16	15	9
2001-12-17	14	19
2001-12-18	13	22
2001-12-19	13	16
2001-12-20	12	22
2001-12-21	11	26
2001-12-22	11	8
2001-12-23	13	7
2001-12-24	13	8
2001-12-25	13	10
2001-12-26	12	19
2001-12-27	12	16
2001-12-28	12	17
2001-12-29	12	17
2001-12-30	13	19
2001-12-31	18	12
2002-01-01	18	9
2002-01-02	17	9
2002-01-03	18	17
2002-01-04	17	21
2002-01-05	18	8
2002-01-06	17	16
2002-01-07	17	23
2002-01-08	17	31
2002-01-09	17	34
2002-01-10	17	25
2002-01-11	19	11
2002-01-12	18	21
2002-01-13	18	23
2002-01-14	18	12
2002-01-15	18	19
2002-01-16	17	19
2002-01-17	23	15
2002-01-18	24	13
2002-01-19	23	-6
2002-01-20	21	13
2002-01-21	21	8
2002-01-22	21	18
2002-01-23	20	11
2002-01-24	21	5
2002-01-25	21	19
2002-01-26	20	29
2002-01-27	20	25
2002-01-28	20	22
2002-01-29	19	16
2002-01-30	19	15
2002-01-31	29	4
2002-02-01	30	6
2002-02-02	28	13
2002-02-03	27	11
2002-02-04	26	14
2002-02-05	26	8
2002-02-06	31	2
2002-02-07	28	18
2002-02-08	27	18
2002-02-09	27	0
2002-02-10	26	4
2002-02-11	25	24
2002-02-12	24	31
2002-02-13	24	12
2002-02-14	24	17
2002-02-15	25	12
2002-02-16	25	17
2002-02-17	24	24
2002-02-18	24	25
2002-02-19	27	11
2002-02-20	28	9
2002-02-21	27	17
2002-02-22	28	14
2002-02-23	27	33
2002-02-24	27	25
2002-02-25	26	14
2002-02-26	26	8
2002-02-27	26	13
2002-02-28	26	13
2002-03-01	25	19
2002-03-02	26	-5
2002-03-03	26	-9
2002-03-04	26	5
2002-03-05	25	16
2002-03-06	25	19
2002-03-07	25	24
2002-03-08	25	22
2002-03-09	25	5
2002-03-10	25	19
2002-03-11	25	24
2002-03-12	25	24
2002-03-13	24	32
2002-03-14	24	28
2002-03-15	24	13
2002-03-16	24	8
2002-03-17	24	3
2002-03-18	24	12
2002-03-19	24	18
2002-03-20	23	22
2002-03-21	23	26
2002-03-22	23	28
2002-03-23	23	29
2002-03-24	22	22
2002-03-25	22	11
2002-03-26	23	15
2002-03-27	23	25
2002-03-28	23	29
2002-03-29	22	31
2002-03-30	22	27
2002-03-31	22	28
2002-04-01	21	33
2002-04-02	20	34
2002-04-03	19	30
2002-04-04	19	30
2002-04-05	18	35
2002-04-06	17	34
2002-04-07	19	24
2002-04-08	29	26
2002-04-09	26	25
2002-04-10	24	34
2002-04-11	21	33
2002-04-12	20	33
2002-04-13	20	32
2002-04-14	19	36
2002-04-15	18	37
2002-04-16	17	31
2002-04-17	17	27
2002-04-18	17	29
2002-04-19	16	31
2002-04-20	15	29
2002-04-21	15	16
2002-04-22	13	28
2002-04-23	13	34
2002-04-24	11	35
2002-04-25	10	33
2002-04-26	10	32
2002-04-27	9	25
2002-04-28	9	27
2002-04-29	7	37
2002-04-30	7	36
2002-05-01	6	34
2002-05-02	6	27
2002-05-03	5	24
2002-05-04	2	30
2002-05-05	1	33
2002-05-06	1	36
2002-05-07	0	37
2002-05-08	0	31
2002-05-09	0	31
2002-05-10	0	36
2002-05-11	0	36
2002-05-12	0	33
2002-05-13	0	29
2002-05-14	0	29
2002-05-15	0	38
2002-05-16	0	40
2002-05-17	0	41
2002-05-18	0	33
2002-05-19	0	38
2002-05-20	0	35
2002-05-21	0	36
2002-05-22	0	28
2002-05-23	0	35
2002-05-24	0	33
2002-05-25	0	33
2002-05-26	0	37
2002-05-27	0	35
2002-05-28	0	37
2002-05-29	0	39
2002-05-30	0	48
2002-05-31	0	47
