Date,Depth,Temp
2019-10-01,0,47
2019-10-02,0,42
2019-10-03,0,45
2019-10-04,0,43
2019-10-05,0,41
2019-10-06,0,40
2019-10-07,0,36
2019-10-08,0,38
2019-10-09,0,40
2019-10-10,0,35
2019-10-11,0,21
2019-10-12,0,33
2019-10-13,0,34
2019-10-14,0,37
2019-10-15,0,38
2019-10-16,0,40
2019-10-17,0,42
2019-10-18,0,39
2019-10-19,0,29
2019-10-20,0,32
2019-10-21,0,19
2019-10-22,0,25
2019-10-23,0,30
2019-10-24,0,27
2019-10-25,0,20
2019-10-26,0,38
2019-10-27,0,37
2019-10-28,0,33
2019-10-29,2,19
2019-10-30,3,18
2019-10-31,2,18
2019-11-01,2,31
2019-11-02,2,27
2019-11-03,2,33
2019-11-04,1,33
2019-11-05,1,34
2019-11-06,1,34
2019-11-07,1,33
2019-11-08,1,31
2019-11-09,1,40
2019-11-10,1,42
2019-11-11,1,35
2019-11-12,1,26
2019-11-13,1,36
2019-11-14,1,27
2019-11-15,1,36
2019-11-16,1,40
2019-11-17,1,32
2019-11-18,1,33
2019-11-19,1,38
2019-11-20,1,35
2019-11-21,4,29
2019-11-22,17,20
2019-11-23,15,20
2019-11-24,13,30
2019-11-25,12,28
2019-11-26,12,19
2019-11-27,13,8
2019-11-28,19,22
2019-11-29,21,29
2019-11-30,28,10
2019-12-01,26,13
2019-12-02,25,31
2019-12-03,24,30
2019-12-04,23,33
2019-12-05,23,31
2019-12-06,24,21
2019-12-07,23,33
2019-12-08,23,30
2019-12-09,30,24
2019-12-10,29,17
2019-12-11,29,30
2019-12-12,28,25
2019-12-13,28,25
2019-12-14,27,26
2019-12-15,27,25
2019-12-16,27,11
2019-12-17,26,3
2019-12-18,26,17
2019-12-19,26,18
2019-12-20,26,17
2019-12-21,25,29
2019-12-22,25,36
2019-12-23,25,34
2019-12-24,25,31
2019-12-25,29,22
2019-12-26,29,19
2019-12-27,29,23
2019-12-28,32,14
2019-12-29,41,10
2019-12-30,40,7
2019-12-31,38,17
2020-01-01,36,18
2020-01-02,35,20
2020-01-03,39,13
2020-01-04,36,27
2020-01-05,34,31
2020-01-06,34,20
2020-01-07,33,22
2020-01-08,33,24
2020-01-09,33,15
2020-01-10,33,16
2020-01-11,34,10
2020-01-12,34,13
2020-01-13,34,16
2020-01-14,34,21
2020-01-15,33,23
2020-01-16,33,26
2020-01-17,43,27
2020-01-18,43,17
2020-01-19,42,26
2020-01-20,41,28
2020-01-21,40,31
2020-01-22,45,24
2020-01-23,44,18
2020-01-24,43,24
2020-01-25,43,21
2020-01-26,42,28
2020-01-27,42,26
